,well number,buffer,max frames,rg average,mass average,rg error,io average,porod average,vcqm average
70,D11,Buffer2,45.0,12.823164172804741,13.12452174754339,4.699386614088676,5.116277117142441,3.0862177736061502,6.431026703714768
71,D11,Buffer1,3.0,10.06588636373607,9.743468771664213,4.005983650675148,3.724504220416808,15.400283273641618,4.677808558067778
72,E10,Average,37.0,10.638360205478344,7.157129181774388,2.4378678501068887,14.089937946692595,2.26897729552737,2.4508188037540215
73,E10,Buffer2,5.0,11.866553021945304,8.425716607619174,1.6876947287142288,16.628521585990207,2.0531624986672248,2.874554105889074
74,E10,Buffer1,13.0,9.07207334264906,5.955415383818798,2.318310813883714,11.798175998539381,1.390519470438862,2.040243342564845
75,A7,Average,2.0,22.596441284736894,36.16163477589113,3.0394435258108135,8.022665623821549,2.5918589097612816,15.907257211427776
76,A7,Buffer2,14.0,19.82635037382685,32.20155159094393,3.1695774330971043,7.535773304366702,1.2738363075886228,14.89742594933098
77,A7,Buffer1,1.0,31.39801795048119,48.8346520218219,nan,10.96756680632898,3.992439131193072,21.543705840278808
78,F9,Average,1.0,5.876928223583679,3.04816205741556,nan,1.80106600481427,nan,5.4373305873775415
79,F9,Buffer2,2.0,5.611246823973374,3.067171498113505,0.0699146765467204,1.800093857277958,nan,5.494821918098579
80,F9,Buffer1,5.0,6.534175343038747,3.384097272044086,0.9876365743467374,1.9923305463060514,1.758219914550965,6.008132222580398
81,C3,Average,18.0,20.164729547184404,32.85526565738948,6.436149432933097,5.126519740397693,1.7223587151234292,13.344403979135613
82,C3,Buffer2,1.0,39.73793006223824,69.36365917559661,nan,10.763616657309171,4.294911073710103,29.35566451711164
83,C3,Buffer1,17.0,19.586514659780224,30.791008452870535,3.573379022357477,5.163176313842357,1.1593401942521675,13.332690709702685
84,B7,Average,2.0,43.624277711906686,78.60501240071255,4.35503079411382,104.70072283766866,3.4739426300757463,29.180002854793408
85,B7,Buffer2,10.0,37.84344881052315,70.67834015235758,3.0348454985743056,93.65893544728569,3.8503027565517662,26.28915315615088
86,B7,Buffer1,1.0,45.929839960976594,80.00150510448915,nan,105.8518363908227,3.3227113436046016,29.83623311212763
87,F4,Average,43.0,11.15197493422276,8.417941295800597,3.3165707316731687,16.186401256512422,2.1188179697676106,2.966242495959351
88,F4,Buffer2,1.0,9.687059902266082,6.42004132442021,nan,12.436633620686024,1.0395642661299644,2.2666184202888986
89,F4,Buffer1,22.0,9.166967985011313,5.9061888386257015,2.621683526085181,11.356063437965835,1.938988084846688,2.071415186843992
90,B6,Average,3.0,28.48216277404217,51.085538656650066,2.835043494407004,28.511165850225485,3.590079057137365,19.680438560211268
91,B6,Buffer2,1.0,8.768174026171641,4.501931437370297,nan,2.563465221237436,0.7394061598935985,1.7750646385374838
92,B6,Buffer1,32.0,25.254926349753678,43.167763696480755,7.9683978712545604,23.935042922677017,2.894161659591881,16.52266730544544
93,B2,Average,0.0,nan,nan,nan,nan,nan,nan
94,B2,Buffer2,22.0,42.08191958268678,82.53480580991597,3.4874239624907375,130.60680173139764,3.59095432057778,29.432074717014203
95,B2,Buffer1,0.0,nan,nan,nan,nan,nan,nan
96,G2,Average,2.0,5.87014267501674,3.260322380796613,0.6354502547900902,0.8719559150559852,nan,5.73043569018173
97,G2,Buffer2,27.0,5.8401542989173905,3.1135958584531696,0.8834247147435788,0.845288919194714,5.221270680515749,5.618763016954256
98,G2,Buffer1,8.0,6.804540763447729,3.424604014211295,1.7164976916738148,0.9385454784483562,6.7151783629189365,5.943688972398338
99,E9,Average,46.0,9.83104686849093,6.889044933070136,3.3429899819355997,11.759064835994765,2.401241042102917,2.5851318670676973
100,E9,Buffer2,1.0,4.775020019176521,1.789485672833196,nan,3.073855655838365,nan,0.6700285043562407
101,E9,Buffer1,5.0,11.30917222455021,8.417639212395672,1.5402568063950068,14.50991544404649,1.8835597415489236,3.165287512069461
102,G3,Average,1.0,7.2986868466463,3.782187469780839,nan,1.9903426942939504,34.08844479090925,6.901973971225544
103,G3,Buffer2,3.0,7.168690831773362,3.5726309028846672,0.6914212251244083,1.8993616058297007,1.3332124410825117,6.533302986006068
104,G3,Buffer1,13.0,6.3995229934693665,3.322157199095188,0.737772769210025,1.7904562410770208,0.1236633763606633,5.939539007326928
105,G7,Average,1.0,4.9371116303074665,2.600850211227246,nan,2.1172945560240466,nan,3.8958396784633575
106,G7,Buffer2,2.0,7.586097966343424,3.9764817216732253,0.4365619133228423,3.2476897397438664,1.1971434691900515,5.923985751366745
107,G7,Buffer1,7.0,6.6348320263389455,3.8975259060905048,0.4212389904342692,3.1778801981946936,nan,5.767580749531674
108,E5,Average,11.0,6.285825087934483,0.7809230440658044,0.8679965507909696,2.2378224619006652,12.392778613425504,0.15161161238248183
109,E5,Buffer2,1.0,7.03471257905818,0.7988988457030103,nan,2.297682293048392,nan,0.1551339177700578
