,filename,frame_number,well_num,buffer,rg_med,rg_std_err_med,rg_pstat,io_med,Vp,mass_vp
54,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00005.sub.1.ave.dat,00005,A2,Average,18.326908274785424,6.743446079593999,8.115078702236366e-10,5.663042671028851,37362.06682758857,31.010515466898514
55,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00006.sub.1.ave.dat,00006,A2,Average,19.778200174913007,3.2622486298084126,1.1561926744406339e-08,5.857266783896442,43837.35528395669,36.385004885684054
56,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00007.sub.1.ave.dat,00007,A2,Average,17.746804593332083,3.678068963100261,7.243036938839354e-05,4.657007745479233,29231.40582211347,24.26206683235418
57,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00008.sub.1.ave.dat,00008,A2,Average,19.91043879779804,6.9452727073228715,1.1882950712905378e-05,5.795939200010707,45907.24638324213,38.103014498090964
58,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00009.sub.1.ave.dat,00009,A2,Average,20.63925858053516,5.695975789712915,0.00016035649262494334,5.854348484130817,48529.442390941425,40.27943718448138
59,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00010.sub.1.ave.dat,00010,A2,Average,19.93796724794013,4.840752596510241,0.00010168023033549323,6.100899774701035,44908.174807049014,37.27378508985068
60,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00011.sub.1.ave.dat,00011,A2,Average,20.079001746396756,2.8444090551041863,1.3065885229621178e-08,5.671613840685003,42927.14921167904,35.6295338456936
61,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00012.sub.1.ave.dat,00012,A2,Average,19.802843494876722,7.055451320379412,1.7597379370811368e-05,5.647595339981257,42022.85176929637,34.87896696851599
62,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00013.sub.1.ave.dat,00013,A2,Average,17.487412722897773,5.948555864037646,5.65413923951006e-07,4.517178014087927,27119.376679545483,22.50908264402275
63,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00014.sub.1.ave.dat,00014,A2,Average,20.343743284914428,9.237224730799184,4.252654633888353e-06,5.506466258016236,41220.882845497814,34.21333276176318
64,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00015.sub.1.ave.dat,00015,A2,Average,28.31560443619279,5.2765547937150705,0.0004800104456463482,8.29118543704993,100729.75990705311,83.60570072285408
65,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00016.sub.1.ave.dat,00016,A2,Average,19.98735863234359,5.82944251870758,9.886537305353956e-08,5.7157704399187095,46323.143655132226,38.44820923375975
66,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00017.sub.1.ave.dat,00017,A2,Average,13.60046028441699,5.541707644845132,2.1712086741505954e-05,3.6588356599212575,21259.511592023864,17.645394621379808
67,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00018.sub.1.ave.dat,00018,A2,Average,22.875946520117168,4.667640881169743,2.900752833152359e-09,6.53396183147283,63196.78608188997,52.45333244796868
68,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00019.sub.1.ave.dat,00019,A2,Average,18.625897728703894,5.2394224313508815,2.1064719653253855e-06,5.048189173564562,34871.09794731761,28.943011296273617
69,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00020.sub.1.ave.dat,00020,A2,Average,20.646043318355,10.27487218416152,1.3878230395623993e-05,5.3384002836421525,44524.59967793014,36.955417732682015
70,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00021.sub.1.ave.dat,00021,A2,Average,13.413569605264078,1.4436443607917413,3.766350384864452e-07,3.0688519458495085,18086.181109410933,15.011530320811074
