id,rg,io,mass,N
SASDBN9,4.04,72749,115.26,190
SASDCQ8,2.83,815763,NA,597
SASDCR8,2.74,1524400,NA,400
SASDCS8,1.34,1198940,NA,107
SASDDW9,4.4,9.11,132,354
SASDDX9,3.95,8.29,99,354
SASDEL7,3.93,167.68,304,984
SASDEM7,3.96,138.06,315,984
SASDEN7,3.95,168.9,309,984
SASDEA8,3.74,89.22,119,623
SASDGZ9,2.95,29.8,98,618
SASDH22,3.16,30.83,88,618
SASDH32,2.97,29.83,85,618
SASDH42,1.42,8.55,5.8,76
SASDH52,1.86,7.61,20,147
SASDB85,1.7,0.14,20.5,183
SASDCD8,6.27,51179.7,NA,178
